,city,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Chicago,82.6,57,0,9.22,US,2022-07-18
1,Chicago,82.6,57,0,9.22,US,2022-07-18
2,Las Vegas,93.58,32,0,9.22,US,2022-07-18
3,Los Angeles,83.44,74,0,11.5,US,2022-07-18
4,Miami,92.01,73,75,14.97,US,2022-07-18
5,New York,83.1,83,75,9.22,US,2022-07-18
6,New York,83.1,83,75,9.22,US,2022-07-18
7,Orlando,90.95,65,0,13.8,US,2022-07-18
8,San Francisco,71.17,82,20,10.36,US,2022-07-18
9,Seattle,58.6,87,75,7.0,US,2022-07-18
10,Washington,65.89,60,2,6.2,US,2022-07-18
11,Washington,65.89,60,2,6.2,US,2022-07-18
12,Boston,83.07,74,100,9.22,US,2022-07-18
