city,state_id,state_name,lat,lng,population,airport name,airport id
Chicago,IL,Illinois,41.8375,-87.6866,8586888,Chicago Midway Airport,MDW
Chicago,IL,Illinois,41.8375,-87.6866,8586888,Chicago O'hare Airport,ORD
Las Vegas,NV,Nevada,36.2333,-115.2654,2165405,Las Vegas Airport,HND
Los Angeles,CA,California,34.1141,-118.4068,12531334,Los Angeles Airport,LAX
Miami,FL,Florida,25.784,-80.2101,6076316,Miami Airport, MIA
New York,NY,New York,40.6943,-73.9249,18680025,John F. Kenned Airport,JFK
New York,NY,New York,40.6943,-73.9249,18680025,La Guardia Airport,LGA
Orlando,FL,Florida,28.4773,-81.337,1792047,Orlando  Airport,MCO
San Francisco,CA,California,37.7558,-122.4449,3557982,San Francisco Airport,SFO 
Seattle,WA,Washington,47.6211,-122.3244,3530752,Seattle Airport,SEA
Washington,DC,District of Columbia,38.9047,-77.0163,5066973,Washington Airport,IAD
Boston,MA,Massachusetts,42.3188,-71.0852,4465966,Boston Airport,BOS
